idx,class
0,NoWhale
1,RightWhale
2,NoWhale
3,NoWhale
4,NoWhale
5,NoWhale
6,RightWhale
7,NoWhale
8,NoWhale
9,RightWhale
10,RightWhale
11,NoWhale
12,NoWhale
13,NoWhale
14,RightWhale
15,NoWhale
16,RightWhale
17,NoWhale
18,RightWhale
19,NoWhale
20,RightWhale
21,RightWhale
22,RightWhale
23,RightWhale
24,NoWhale
25,NoWhale
26,NoWhale
27,RightWhale
28,RightWhale
29,RightWhale
30,RightWhale
31,NoWhale
32,RightWhale
33,NoWhale
34,RightWhale
35,RightWhale
36,RightWhale
37,RightWhale
38,RightWhale
39,RightWhale
40,RightWhale
41,RightWhale
42,NoWhale
43,RightWhale
44,NoWhale
45,RightWhale
46,NoWhale
47,RightWhale
48,RightWhale
49,NoWhale
50,NoWhale
51,NoWhale
52,RightWhale
53,RightWhale
54,NoWhale
55,RightWhale
56,RightWhale
57,RightWhale
58,RightWhale
59,RightWhale
60,NoWhale
61,NoWhale
62,RightWhale
63,NoWhale
64,RightWhale
65,NoWhale
66,RightWhale
67,RightWhale
68,NoWhale
69,NoWhale
70,RightWhale
71,RightWhale
72,NoWhale
73,NoWhale
74,NoWhale
75,NoWhale
76,RightWhale
77,NoWhale
78,NoWhale
79,RightWhale
80,RightWhale
81,RightWhale
82,RightWhale
83,NoWhale
84,RightWhale
85,NoWhale
86,NoWhale
87,RightWhale
88,RightWhale
89,NoWhale
90,NoWhale
91,NoWhale
92,RightWhale
93,RightWhale
94,RightWhale
95,NoWhale
96,NoWhale
97,NoWhale
98,NoWhale
99,NoWhale
100,RightWhale
101,RightWhale
102,NoWhale
103,RightWhale
104,RightWhale
105,NoWhale
106,RightWhale
107,NoWhale
108,NoWhale
109,NoWhale
110,RightWhale
111,NoWhale
112,RightWhale
113,RightWhale
114,RightWhale
115,NoWhale
116,NoWhale
117,RightWhale
118,RightWhale
119,RightWhale
120,NoWhale
121,NoWhale
122,RightWhale
123,NoWhale
124,NoWhale
125,RightWhale
126,RightWhale
127,RightWhale
128,NoWhale
129,RightWhale
130,NoWhale
131,NoWhale
132,NoWhale
133,RightWhale
134,RightWhale
135,NoWhale
136,RightWhale
137,RightWhale
138,NoWhale
139,NoWhale
140,RightWhale
141,NoWhale
142,NoWhale
143,NoWhale
144,NoWhale
145,NoWhale
146,NoWhale
147,RightWhale
148,RightWhale
149,NoWhale
150,NoWhale
151,RightWhale
152,RightWhale
153,NoWhale
154,RightWhale
155,RightWhale
156,RightWhale
157,NoWhale
158,RightWhale
159,NoWhale
160,NoWhale
161,NoWhale
162,NoWhale
163,NoWhale
164,NoWhale
165,NoWhale
166,NoWhale
167,RightWhale
168,NoWhale
169,RightWhale
170,NoWhale
171,RightWhale
172,NoWhale
173,NoWhale
174,RightWhale
175,RightWhale
176,RightWhale
177,RightWhale
178,RightWhale
179,RightWhale
180,NoWhale
181,NoWhale
182,NoWhale
183,RightWhale
184,RightWhale
185,NoWhale
186,RightWhale
187,RightWhale
188,NoWhale
189,RightWhale
190,NoWhale
191,RightWhale
192,NoWhale
193,NoWhale
194,NoWhale
195,RightWhale
196,NoWhale
197,RightWhale
198,NoWhale
199,RightWhale
200,NoWhale
201,RightWhale
202,RightWhale
203,NoWhale
204,NoWhale
205,NoWhale
206,NoWhale
207,RightWhale
208,NoWhale
209,RightWhale
210,NoWhale
211,NoWhale
212,NoWhale
213,NoWhale
214,NoWhale
215,RightWhale
216,RightWhale
217,RightWhale
218,NoWhale
219,RightWhale
220,NoWhale
221,NoWhale
222,NoWhale
223,RightWhale
224,NoWhale
225,NoWhale
226,RightWhale
227,NoWhale
228,NoWhale
229,RightWhale
230,NoWhale
231,NoWhale
232,NoWhale
233,NoWhale
234,NoWhale
235,RightWhale
236,NoWhale
237,RightWhale
238,RightWhale
239,RightWhale
240,RightWhale
241,RightWhale
242,NoWhale
243,NoWhale
244,NoWhale
245,NoWhale
246,RightWhale
247,RightWhale
248,RightWhale
249,NoWhale
250,NoWhale
251,RightWhale
252,NoWhale
253,NoWhale
254,NoWhale
255,NoWhale
256,NoWhale
257,NoWhale
258,NoWhale
259,RightWhale
260,NoWhale
261,NoWhale
262,RightWhale
263,NoWhale
264,NoWhale
265,NoWhale
266,RightWhale
267,RightWhale
268,NoWhale
269,RightWhale
270,RightWhale
271,NoWhale
272,NoWhale
273,NoWhale
274,NoWhale
275,NoWhale
276,NoWhale
277,RightWhale
278,NoWhale
279,NoWhale
280,NoWhale
281,RightWhale
282,NoWhale
283,RightWhale
284,RightWhale
285,RightWhale
286,NoWhale
287,NoWhale
288,NoWhale
289,RightWhale
290,NoWhale
291,NoWhale
292,RightWhale
293,NoWhale
294,NoWhale
295,RightWhale
296,NoWhale
297,RightWhale
298,RightWhale
299,NoWhale
300,NoWhale
301,RightWhale
302,RightWhale
303,NoWhale
304,RightWhale
305,NoWhale
306,RightWhale
307,RightWhale
308,NoWhale
309,NoWhale
310,NoWhale
311,NoWhale
312,RightWhale
313,RightWhale
314,NoWhale
315,NoWhale
316,RightWhale
317,RightWhale
318,NoWhale
319,RightWhale
320,RightWhale
321,NoWhale
322,NoWhale
323,RightWhale
324,NoWhale
325,NoWhale
326,NoWhale
327,RightWhale
328,RightWhale
329,NoWhale
330,NoWhale
331,NoWhale
332,RightWhale
333,RightWhale
334,NoWhale
335,NoWhale
336,RightWhale
337,NoWhale
338,NoWhale
339,NoWhale
340,RightWhale
341,NoWhale
342,RightWhale
343,NoWhale
344,RightWhale
345,RightWhale
346,RightWhale
347,RightWhale
348,RightWhale
349,NoWhale
350,NoWhale
351,NoWhale
352,RightWhale
353,RightWhale
354,NoWhale
355,RightWhale
356,RightWhale
357,RightWhale
358,RightWhale
359,RightWhale
360,NoWhale
361,RightWhale
362,RightWhale
363,RightWhale
364,NoWhale
365,RightWhale
366,RightWhale
367,RightWhale
368,NoWhale
369,RightWhale
370,NoWhale
371,NoWhale
372,NoWhale
373,NoWhale
374,RightWhale
375,NoWhale
376,RightWhale
377,NoWhale
378,RightWhale
379,RightWhale
380,RightWhale
381,NoWhale
382,NoWhale
383,NoWhale
384,RightWhale
385,NoWhale
386,NoWhale
387,RightWhale
388,RightWhale
389,RightWhale
390,NoWhale
391,RightWhale
392,RightWhale
393,NoWhale
394,NoWhale
395,NoWhale
396,RightWhale
397,NoWhale
398,RightWhale
399,NoWhale
400,RightWhale
401,NoWhale
402,RightWhale
403,NoWhale
404,RightWhale
405,RightWhale
406,RightWhale
407,NoWhale
408,RightWhale
409,RightWhale
410,NoWhale
411,RightWhale
412,NoWhale
413,NoWhale
414,RightWhale
415,NoWhale
416,NoWhale
417,NoWhale
418,RightWhale
419,RightWhale
420,RightWhale
421,RightWhale
422,NoWhale
423,NoWhale
424,NoWhale
425,NoWhale
426,NoWhale
427,RightWhale
428,RightWhale
429,NoWhale
430,NoWhale
431,RightWhale
432,NoWhale
433,RightWhale
434,RightWhale
435,NoWhale
436,NoWhale
437,RightWhale
438,NoWhale
439,NoWhale
440,NoWhale
441,RightWhale
442,RightWhale
443,RightWhale
444,RightWhale
445,NoWhale
446,RightWhale
447,RightWhale
448,NoWhale
449,RightWhale
450,RightWhale
451,NoWhale
452,RightWhale
453,NoWhale
454,RightWhale
455,RightWhale
456,NoWhale
457,RightWhale
458,RightWhale
459,RightWhale
460,RightWhale
461,RightWhale
462,NoWhale
463,RightWhale
464,NoWhale
465,RightWhale
466,NoWhale
467,RightWhale
468,RightWhale
469,NoWhale
470,RightWhale
471,NoWhale
472,NoWhale
473,RightWhale
474,NoWhale
475,NoWhale
476,RightWhale
477,RightWhale
478,NoWhale
479,RightWhale
480,NoWhale
481,RightWhale
482,NoWhale
483,NoWhale
484,RightWhale
485,NoWhale
486,RightWhale
487,RightWhale
488,RightWhale
489,NoWhale
490,RightWhale
491,RightWhale
492,RightWhale
493,NoWhale
494,RightWhale
495,RightWhale
496,RightWhale
497,NoWhale
498,NoWhale
499,RightWhale
500,RightWhale
501,NoWhale
502,NoWhale
503,NoWhale
504,NoWhale
505,NoWhale
506,NoWhale
507,NoWhale
508,RightWhale
509,RightWhale
510,RightWhale
511,RightWhale
512,RightWhale
513,NoWhale
514,NoWhale
515,RightWhale
516,RightWhale
517,RightWhale
518,RightWhale
519,RightWhale
520,NoWhale
521,NoWhale
522,NoWhale
523,RightWhale
524,RightWhale
525,RightWhale
526,NoWhale
527,RightWhale
528,RightWhale
529,NoWhale
530,RightWhale
531,NoWhale
532,NoWhale
533,RightWhale
534,NoWhale
535,RightWhale
536,RightWhale
537,RightWhale
538,RightWhale
539,RightWhale
540,NoWhale
541,NoWhale
542,RightWhale
543,RightWhale
544,NoWhale
545,NoWhale
546,RightWhale
547,RightWhale
548,NoWhale
549,RightWhale
550,RightWhale
551,RightWhale
552,RightWhale
553,RightWhale
554,NoWhale
555,NoWhale
556,RightWhale
557,NoWhale
558,RightWhale
559,RightWhale
560,RightWhale
561,NoWhale
562,NoWhale
563,RightWhale
564,NoWhale
565,RightWhale
566,RightWhale
567,RightWhale
568,RightWhale
569,RightWhale
570,RightWhale
571,NoWhale
572,NoWhale
573,RightWhale
574,NoWhale
575,NoWhale
576,RightWhale
577,RightWhale
578,NoWhale
579,RightWhale
580,RightWhale
581,NoWhale
582,NoWhale
583,RightWhale
584,NoWhale
585,RightWhale
586,RightWhale
587,RightWhale
588,NoWhale
589,NoWhale
590,NoWhale
591,NoWhale
592,RightWhale
593,NoWhale
594,NoWhale
595,NoWhale
596,RightWhale
597,NoWhale
598,RightWhale
599,RightWhale
600,RightWhale
601,RightWhale
602,NoWhale
603,NoWhale
604,RightWhale
605,NoWhale
606,RightWhale
607,RightWhale
608,NoWhale
609,RightWhale
610,NoWhale
611,RightWhale
612,NoWhale
613,RightWhale
614,RightWhale
615,NoWhale
616,NoWhale
617,RightWhale
618,NoWhale
619,NoWhale
620,RightWhale
621,RightWhale
622,RightWhale
623,NoWhale
624,RightWhale
625,RightWhale
626,NoWhale
627,RightWhale
628,RightWhale
629,RightWhale
630,NoWhale
631,NoWhale
632,NoWhale
633,RightWhale
634,NoWhale
635,NoWhale
636,NoWhale
637,RightWhale
638,RightWhale
639,NoWhale
640,NoWhale
641,RightWhale
642,RightWhale
643,RightWhale
644,RightWhale
645,NoWhale
646,NoWhale
647,RightWhale
648,NoWhale
649,NoWhale
650,RightWhale
651,NoWhale
652,NoWhale
653,NoWhale
654,RightWhale
655,RightWhale
656,NoWhale
657,RightWhale
658,NoWhale
659,NoWhale
660,RightWhale
661,RightWhale
662,NoWhale
663,NoWhale
664,RightWhale
665,RightWhale
666,NoWhale
667,NoWhale
668,NoWhale
669,RightWhale
670,RightWhale
671,NoWhale
672,NoWhale
673,NoWhale
674,NoWhale
675,NoWhale
676,RightWhale
677,NoWhale
678,RightWhale
679,NoWhale
680,NoWhale
681,NoWhale
682,NoWhale
683,RightWhale
684,RightWhale
685,NoWhale
686,NoWhale
687,NoWhale
688,RightWhale
689,NoWhale
690,NoWhale
691,RightWhale
692,RightWhale
693,RightWhale
694,RightWhale
695,NoWhale
696,NoWhale
697,RightWhale
698,NoWhale
699,RightWhale
700,RightWhale
701,RightWhale
702,RightWhale
703,RightWhale
704,RightWhale
705,RightWhale
706,RightWhale
707,RightWhale
708,NoWhale
709,NoWhale
710,NoWhale
711,NoWhale
712,RightWhale
713,RightWhale
714,NoWhale
715,RightWhale
716,NoWhale
717,RightWhale
718,NoWhale
719,NoWhale
720,NoWhale
721,NoWhale
722,NoWhale
723,NoWhale
724,NoWhale
725,RightWhale
726,NoWhale
727,RightWhale
728,RightWhale
729,RightWhale
730,RightWhale
731,RightWhale
732,RightWhale
733,RightWhale
734,RightWhale
735,RightWhale
736,RightWhale
737,RightWhale
738,RightWhale
739,NoWhale
740,NoWhale
741,RightWhale
742,RightWhale
743,NoWhale
744,RightWhale
745,NoWhale
746,NoWhale
747,NoWhale
748,RightWhale
749,NoWhale
750,RightWhale
751,NoWhale
752,NoWhale
753,NoWhale
754,RightWhale
755,NoWhale
