,0
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,1
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,1
52,0
53,0
54,1
55,0
56,0
57,1
58,1
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,0
88,1
89,0
90,0
91,1
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,0
119,1
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,1
137,0
138,1
139,0
140,0
141,1
142,0
143,1
144,1
145,1
146,0
147,0
148,1
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,0
163,1
164,0
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,1
175,0
176,1
177,0
178,0
179,1
180,0
181,1
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,0
195,0
196,0
197,0
198,1
199,0
200,1
201,0
202,0
203,1
204,0
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,0
215,0
216,0
217,1
218,1
219,1
220,0
221,1
222,0
223,0
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,1
236,1
237,0
238,1
239,0
240,1
241,0
242,0
243,0
244,1
245,1
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,1
264,0
265,1
266,1
267,1
268,1
269,1
270,0
271,1
272,0
273,0
274,0
275,1
276,1
277,1
278,1
279,0
280,0
281,0
282,1
283,1
284,1
285,1
286,1
287,0
288,0
289,0
290,1
291,0
292,1
293,0
294,0
295,1
296,1
297,0
298,1
299,1
300,0
301,0
302,1
303,0
304,0
305,1
306,1
307,1
308,0
309,1
310,1
311,1
312,0
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,0
321,0
322,0
323,0
324,1
325,0
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,1
335,0
336,0
337,1
338,0
339,1
340,1
341,0
342,1
343,1
344,1
345,0
346,0
347,1
348,1
349,1
350,0
351,0
352,0
353,1
354,0
355,1
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,1
371,1
372,1
373,1
374,0
375,1
376,0
377,1
378,0
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,0
390,1
391,0
392,0
393,1
394,1
395,0
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,0
404,0
405,0
406,1
407,0
408,0
409,0
410,1
411,0
412,1
413,0
414,0
415,0
416,1
417,1
418,0
419,1
420,1
421,0
422,1
423,0
424,1
425,1
426,1
427,1
428,0
429,0
430,0
431,1
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,1
440,1
441,1
442,1
443,1
444,0
445,0
446,1
447,0
448,0
449,0
450,0
451,0
452,1
453,0
454,0
455,1
456,1
457,0
458,1
459,0
460,1
461,0
462,1
463,1
464,1
465,0
466,1
467,0
468,0
469,1
470,1
471,0
472,1
473,0
474,1
475,1
476,1
477,0
478,1
479,0
480,1
481,0
482,0
483,0
484,1
485,0
486,1
487,0
488,1
489,1
490,0
491,1
492,0
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,1
501,0
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,0
510,0
511,1
512,0
513,0
514,1
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,0
523,1
524,1
525,0
526,0
527,0
528,0
529,0
530,0
531,1
532,1
533,0
534,1
535,1
536,0
537,0
538,0
539,0
540,0
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,0
549,1
550,0
551,0
552,1
553,0
554,0
555,0
556,1
557,1
558,0
559,0
560,1
561,1
562,1
563,1
564,0
565,0
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,1
588,0
589,1
590,1
591,1
592,0
593,1
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,1
603,1
604,1
605,0
606,0
607,1
608,0
609,0
610,1
611,0
612,0
613,0
614,0
615,0
616,1
617,0
618,1
619,1
620,0
621,0
622,0
623,0
624,0
625,0
626,1
627,1
628,0
629,1
630,0
631,1
632,1
633,1
634,1
635,0
636,0
637,1
638,1
639,0
640,1
641,1
642,0
643,1
644,1
645,1
646,1
647,0
648,1
649,1
650,1
651,0
652,1
653,1
654,0
655,1
656,0
657,1
658,1
659,0
660,1
661,0
662,0
663,0
664,1
665,1
666,0
667,1
668,0
669,0
670,0
671,0
672,1
673,1
674,0
675,1
676,0
677,0
678,0
679,0
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,0
688,1
689,0
690,0
691,0
692,1
693,0
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,0
705,0
706,1
707,0
708,0
709,0
710,1
711,0
712,0
713,1
714,1
715,0
716,1
717,1
718,0
719,1
720,1
721,1
722,1
723,0
724,0
725,0
726,0
727,0
728,0
729,1
730,0
731,0
732,0
733,0
734,1
735,1
736,1
737,0
738,0
739,0
740,1
741,1
742,0
743,0
744,1
745,0
746,0
747,1
748,0
749,0
750,0
751,0
752,1
753,1
754,1
755,0
756,1
757,0
758,1
759,1
760,0
761,0
762,0
763,1
764,0
765,0
766,0
767,1
768,1
769,0
770,0
771,0
772,0
773,0
774,1
775,1
776,0
777,1
778,1
779,1
780,1
781,1
782,1
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,0
793,1
794,1
795,1
796,0
797,1
798,0
799,1
800,0
801,0
802,0
803,0
804,0
805,1
806,1
807,1
808,0
809,1
810,1
811,1
812,1
813,0
814,1
815,1
816,1
817,1
818,1
819,0
820,1
821,1
822,1
823,0
824,1
825,1
826,1
827,0
828,1
829,1
830,0
831,0
832,1
833,1
834,0
835,1
836,0
837,0
838,0
839,0
840,0
841,1
842,1
843,1
844,0
845,0
846,0
847,1
848,0
849,0
850,1
851,0
852,1
853,1
854,1
855,1
856,0
857,1
858,1
859,0
860,0
861,0
862,0
863,1
864,0
865,1
866,0
867,0
868,1
869,0
870,1
871,1
872,1
873,1
874,1
875,1
876,0
877,1
878,1
879,0
880,1
881,1
882,1
883,1
884,0
885,1
886,1
887,1
888,1
889,0
890,0
891,0
892,0
893,0
894,1
895,0
896,0
897,0
898,1
899,0
900,1
901,1
902,1
903,1
904,1
905,0
906,0
907,0
908,1
909,1
910,1
911,1
912,1
913,1
914,0
915,0
916,1
917,0
918,0
919,0
920,0
921,0
922,1
923,1
924,1
925,0
926,0
927,0
928,0
929,0
930,1
931,1
932,1
933,0
934,1
935,1
936,0
937,0
938,0
939,0
940,0
941,0
942,1
943,1
944,1
945,0
946,0
947,1
948,0
949,1
950,1
951,0
952,0
953,1
954,1
955,1
956,0
957,0
958,0
959,0
960,1
961,0
962,1
963,1
964,0
965,1
966,1
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,1
977,0
978,1
979,1
980,0
981,0
982,0
983,1
984,1
985,1
986,0
987,1
988,1
989,0
990,0
991,1
992,0
993,0
994,0
995,1
996,1
997,1
998,1
999,1
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,0
1008,1
1009,1
1010,1
1011,1
1012,1
1013,0
1014,0
1015,0
1016,1
1017,0
1018,1
1019,0
1020,0
1021,0
1022,0
1023,1
1024,1
1025,0
1026,1
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,1
1040,1
1041,1
1042,1
1043,0
1044,0
1045,0
1046,0
1047,1
1048,1
1049,1
1050,0
1051,1
1052,0
1053,1
1054,1
1055,1
1056,0
1057,0
1058,0
1059,1
1060,1
1061,1
1062,0
1063,0
1064,1
1065,0
1066,1
1067,0
1068,0
1069,0
1070,1
1071,1
1072,0
1073,1
1074,1
1075,0
1076,0
1077,0
1078,1
1079,0
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,0
1087,1
1088,0
1089,1
1090,1
1091,1
1092,0
1093,1
1094,0
1095,0
1096,1
1097,1
1098,0
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,0
1106,1
1107,0
1108,0
1109,0
1110,1
1111,1
1112,1
1113,0
1114,0
1115,0
1116,0
1117,1
1118,0
1119,1
1120,1
1121,0
1122,1
1123,1
1124,1
1125,0
1126,1
1127,0
1128,1
1129,0
1130,1
1131,1
1132,0
1133,1
1134,0
1135,0
1136,1
1137,1
1138,1
1139,1
1140,1
1141,0
1142,1
1143,1
1144,0
1145,0
1146,0
1147,1
1148,1
1149,1
1150,0
1151,0
1152,0
1153,1
1154,0
1155,0
1156,1
1157,1
1158,1
1159,0
1160,0
1161,0
1162,1
1163,1
1164,0
1165,0
1166,1
1167,0
1168,0
1169,1
1170,0
1171,1
1172,0
1173,0
1174,1
1175,1
1176,1
1177,1
1178,0
1179,0
1180,0
1181,1
1182,1
1183,0
1184,0
1185,0
1186,1
1187,1
1188,0
1189,0
1190,0
1191,1
1192,1
1193,1
1194,1
1195,1
1196,0
1197,1
1198,1
1199,0
1200,0
1201,0
1202,0
1203,1
1204,0
1205,1
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,1
1214,0
1215,1
1216,0
1217,0
1218,0
1219,1
1220,0
1221,1
1222,1
1223,0
1224,0
1225,1
1226,0
1227,0
1228,1
1229,0
1230,0
